record_id,user_id,user_name,region,subscription_type,movie_id,title,genre,type,watch_time_minutes,duration_minutes,watch_date,rating,device,status
10027,U362,Rohan Singh,Japan,Free,M746,The Mandalorian,Action,TV Show,31,33,2025-09-18,4,Mobile,Completed
10028,U423,Arnav Joshi,Japan,Free,M326,Dark,Fantasy,TV Show,27,32,2025-08-20,2,Laptop,Incomplete
10029,U519,Oliver Brown,UAE,Premium,M997,The Boys,Crime,Movie,144,177,2025-09-15,2,Tablet,Incomplete
10030,U230,Saanvi Jain,Japan,Standard,M603,The Mandalorian,Fantasy,TV Show,22,42,2025-08-25,5,Smart TV,Incomplete
10031,U891,Ava White,UAE,Premium,M397,Money Heist,Adventure,TV Show,18,35,2025-09-23,1,Tablet,Incomplete
10032,U362,Neha Verma,UK,Standard,M797,The Office,Comedy,Movie,51,64,2025-08-16,3,Laptop,Incomplete
10033,U497,Isabella Thomas,Canada,Standard,M436,Friends,Comedy,Movie,96,149,2025-10-06,4,Mobile,Incomplete
10034,U917,Ethan Davis,Canada,Premium,M111,Dune,Crime,TV Show,29,39,2025-08-24,1,Laptop,Incomplete
10035,U359,Arjun Mehra,Canada,Free,M354,Squid Game,Drama,TV Show,41,48,2025-10-10,3,Tablet,Incomplete
10036,U466,Oliver Brown,UAE,Standard,M105,Sacred Games,Romance,Movie,65,130,2025-09-03,3,Tablet,Incomplete
10037,U784,Diya Reddy,India,Free,M355,Squid Game,Romance,TV Show,17,30,2025-09-14,4,Laptop,Incomplete
10038,U904,Isabella Thomas,Canada,Premium,M524,Money Heist,Drama,TV Show,22,44,2025-08-01,3,Tablet,Incomplete
10039,U227,Saanvi Jain,Japan,Free,M672,Dark,Drama,TV Show,17,28,2025-08-09,2,Mobile,Incomplete
10040,U709,Meera Kapoor,Japan,Free,M477,Reacher,Crime,Movie,61,84,2025-09-29,2,Mobile,Incomplete
10041,U860,Ava White,India,Premium,M136,Cobra Kai,Fantasy,TV Show,35,54,2025-10-09,3,Laptop,Incomplete
10042,U991,Priya Nair,India,Free,M175,The Flash,Sci-Fi,TV Show,43,44,2025-10-01,3,Tablet,Completed
10043,U514,Ryan Moore,Australia,Free,M153,Extraction,Adventure,Movie,98,111,2025-10-13,5,Mobile,Incomplete
10044,U111,Lucas Green,Australia,Standard,M112,The Boys,Adventure,TV Show,40,45,2025-10-21,4,Tablet,Incomplete
10045,U390,Ethan Davis,Australia,Standard,M520,Narcos,Sci-Fi,Movie,36,73,2025-08-30,2,Smart TV,Incomplete
10046,U120,Ethan Davis,Japan,Standard,M223,The Mandalorian,Adventure,TV Show,19,34,2025-10-13,2,Laptop,Incomplete
10047,U482,Priya Nair,UK,Premium,M136,The Witcher,Drama,TV Show,25,29,2025-09-19,4,Smart TV,Incomplete
10048,U990,Sarah Lee,Canada,Standard,M265,Wednesday,Fantasy,Movie,149,165,2025-08-07,3,Laptop,Completed
10049,U662,Meera Kapoor,USA,Premium,M625,Interstellar,Comedy,Movie,43,50,2025-10-09,4,Mobile,Incomplete
10050,U443,Ryan Moore,Australia,Premium,M442,Money Heist,Sci-Fi,Movie,101,144,2025-08-29,4,Mobile,Incomplete
10051,U758,David Wilson,USA,Free,M439,Wednesday,Drama,TV Show,16,33,2025-08-12,4,Tablet,Incomplete
10052,U509,Saanvi Jain,Japan,Standard,M959,Wednesday,Comedy,Movie,114,153,2025-08-01,4,Mobile,Incomplete
10053,U235,Diya Reddy,Australia,Premium,M696,Narcos,Comedy,TV Show,29,39,2025-09-14,1,Laptop,Incomplete
10054,U490,Raj Sharma,Australia,Free,M582,Vikings,Comedy,Movie,48,65,2025-09-08,4,Tablet,Incomplete
10055,U426,David Wilson,Australia,Standard,M405,Breaking Bad,Adventure,TV Show,17,29,2025-10-22,3,Mobile,Incomplete
10056,U612,Rohan Singh,Japan,Free,M573,Reacher,Thriller,Movie,99,154,2025-09-28,3,Tablet,Incomplete
10057,U867,Lily Martin,UK,Premium,M377,The Crown,Sci-Fi,Movie,62,69,2025-10-10,1,Mobile,Incomplete
10058,U220,Isabella Thomas,Japan,Premium,M506,Jawan,Comedy,TV Show,23,36,2025-09-03,1,Smart TV,Incomplete
10059,U900,Emma Johnson,Japan,Standard,M825,Mirzapur,Romance,Movie,56,97,2025-09-28,2,Laptop,Incomplete
10060,U280,Harshit Tiwari,India,Standard,M928,The Mandalorian,Romance,TV Show,36,52,2025-10-10,4,Smart TV,Incomplete
10061,U330,Raj Sharma,Canada,Premium,M760,Money Heist,Comedy,TV Show,34,48,2025-10-22,5,Laptop,Incomplete
10062,U983,Diya Reddy,India,Standard,M181,Jawan,Adventure,Movie,56,58,2025-10-24,4,Tablet,Completed
10063,U336,Rohan Singh,India,Premium,M261,Squid Game,Action,TV Show,49,59,2025-09-18,1,Tablet,Incomplete
10064,U876,Ella Turner,Canada,Free,M249,Avatar,Thriller,TV Show,21,23,2025-08-15,5,Tablet,Completed
10065,U463,Priya Nair,Australia,Premium,M969,Inception,Sci-Fi,Movie,91,141,2025-09-09,3,Mobile,Incomplete
10066,U369,Raj Sharma,Canada,Free,M406,Jawan,Thriller,Movie,35,37,2025-08-21,1,Tablet,Completed
10067,U933,Oliver Brown,UK,Premium,M636,The Boys,Drama,TV Show,24,47,2025-10-19,5,Smart TV,Incomplete
10068,U298,Rohan Singh,Japan,Premium,M170,Breaking Bad,Fantasy,TV Show,45,49,2025-09-17,2,Smart TV,Completed
10069,U850,Arjun Mehra,India,Standard,M355,Friends,Fantasy,Movie,84,151,2025-08-14,5,Smart TV,Incomplete
10070,U154,Harshit Tiwari,UK,Premium,M665,Mirzapur,Romance,Movie,104,132,2025-10-28,3,Mobile,Incomplete
10071,U613,Ryan Moore,Japan,Premium,M156,Avatar,Action,Movie,75,117,2025-09-05,1,Mobile,Incomplete
10072,U129,Ella Turner,Australia,Premium,M190,Peaky Blinders,Fantasy,Movie,81,121,2025-10-17,1,Laptop,Incomplete
10073,U998,Ryan Moore,UK,Standard,M383,Dune,Adventure,Movie,79,85,2025-10-05,3,Smart TV,Completed
10074,U834,Emma Johnson,UAE,Premium,M790,Black Mirror,Sci-Fi,Movie,140,149,2025-08-24,2,Tablet,Completed
10075,U796,Harshit Tiwari,UK,Premium,M838,Sacred Games,Fantasy,Movie,165,165,2025-08-29,5,Tablet,Completed
10076,U556,Noah Clark,UK,Standard,M497,Lucifer,Drama,TV Show,49,54,2025-08-10,1,Tablet,Completed
10077,U293,Yash Garg,UK,Free,M758,House of the Dragon,Crime,Movie,104,107,2025-10-14,1,Laptop,Completed
10078,U182,Harshit Tiwari,Japan,Premium,M841,The Mandalorian,Fantasy,Movie,90,160,2025-08-22,3,Tablet,Incomplete
10079,U686,Charlotte Adams,UK,Premium,M782,Loki,Sci-Fi,TV Show,44,56,2025-10-02,2,Laptop,Incomplete
10080,U202,Priya Nair,India,Standard,M345,Mirzapur,Drama,Movie,29,42,2025-08-01,4,Laptop,Incomplete
10081,U212,Noah Clark,USA,Premium,M295,Extraction,Sci-Fi,Movie,123,155,2025-10-27,4,Tablet,Incomplete
10082,U852,Jack Anderson,Japan,Free,M377,Bridgerton,Action,TV Show,45,53,2025-08-07,4,Tablet,Incomplete
10083,U386,Benjamin Scott,India,Free,M540,Peaky Blinders,Comedy,Movie,30,50,2025-10-27,2,Laptop,Incomplete
10084,U191,Lucas Green,India,Premium,M737,House of the Dragon,Action,Movie,28,39,2025-09-20,1,Tablet,Incomplete
10085,U459,Yash Garg,Japan,Standard,M464,Breaking Bad,Romance,Movie,71,118,2025-09-07,1,Mobile,Incomplete
10086,U175,Sarah Lee,UK,Free,M976,Loki,Fantasy,Movie,86,163,2025-09-10,4,Mobile,Incomplete
10087,U294,Meera Kapoor,India,Premium,M129,Bridgerton,Comedy,Movie,40,51,2025-10-01,2,Mobile,Incomplete
10088,U747,Ava White,UK,Premium,M396,House of the Dragon,Adventure,TV Show,21,35,2025-10-12,4,Tablet,Incomplete
10089,U779,David Wilson,USA,Free,M940,The Boys,Adventure,Movie,156,171,2025-10-02,2,Laptop,Completed
10090,U839,Arnav Joshi,UAE,Standard,M448,Inception,Sci-Fi,TV Show,29,44,2025-10-17,3,Laptop,Incomplete
10091,U266,Emma Johnson,UK,Standard,M977,The Crown,Comedy,TV Show,33,49,2025-08-23,4,Mobile,Incomplete
10092,U181,Charlotte Adams,Canada,Premium,M574,Loki,Fantasy,TV Show,43,53,2025-08-06,5,Tablet,Incomplete
10093,U528,Mia Patel,India,Free,M342,Bridgerton,Fantasy,TV Show,25,29,2025-09-05,3,Smart TV,Incomplete
10094,U982,Ava White,UAE,Free,M540,Interstellar,Action,Movie,68,100,2025-10-28,4,Smart TV,Incomplete
10095,U879,Mia Patel,UAE,Premium,M457,The Boys,Fantasy,Movie,109,134,2025-09-13,2,Mobile,Incomplete
10096,U582,Arjun Mehra,India,Standard,M861,The Witcher,Adventure,TV Show,22,29,2025-10-26,3,Tablet,Incomplete
10097,U950,Mia Patel,USA,Free,M501,Reacher,Crime,TV Show,42,55,2025-10-29,5,Smart TV,Incomplete
10098,U106,Oliver Brown,UK,Standard,M955,Reacher,Drama,TV Show,19,27,2025-09-17,5,Smart TV,Incomplete
10099,U837,Yash Garg,Australia,Standard,M556,Inception,Action,TV Show,27,54,2025-09-11,1,Mobile,Incomplete
10100,U272,Isabella Thomas,India,Free,M845,Dark,Fantasy,Movie,90,146,2025-09-16,1,Mobile,Incomplete
10101,U869,Aarav Gupta,UK,Free,M728,Sacred Games,Drama,TV Show,12,25,2025-10-04,5,Smart TV,Incomplete
10102,U221,Sarah Lee,USA,Premium,M955,Black Mirror,Action,TV Show,40,46,2025-10-05,3,Laptop,Incomplete
10103,U495,Ethan Davis,Canada,Premium,M273,The Boys,Thriller,TV Show,43,46,2025-08-12,2,Laptop,Completed
10104,U611,Sophia Hall,UK,Free,M252,The 100,Thriller,Movie,59,64,2025-09-19,4,Tablet,Completed
10105,U971,Sophia Hall,UAE,Free,M229,Friends,Crime,TV Show,27,45,2025-10-21,3,Laptop,Incomplete
10106,U842,Raj Sharma,Australia,Free,M840,Friends,Adventure,TV Show,56,58,2025-08-06,1,Laptop,Completed
10107,U287,Lucas Green,Japan,Standard,M142,The Flash,Drama,Movie,128,164,2025-08-29,5,Laptop,Incomplete
10108,U111,Raj Sharma,India,Premium,M648,Dark,Drama,Movie,50,88,2025-08-08,5,Laptop,Incomplete
10109,U565,Jack Anderson,USA,Premium,M588,Breaking Bad,Thriller,Movie,47,80,2025-09-24,2,Smart TV,Incomplete
10110,U386,Aisha Khan,Australia,Standard,M732,Inception,Comedy,TV Show,22,28,2025-08-08,4,Tablet,Incomplete
10111,U919,Emma Johnson,Japan,Standard,M777,The Mandalorian,Adventure,TV Show,15,22,2025-08-21,2,Tablet,Incomplete
10112,U416,Arnav Joshi,India,Standard,M557,Wednesday,Crime,TV Show,25,31,2025-08-17,1,Smart TV,Incomplete
10113,U890,Emma Johnson,Japan,Standard,M483,Dark,Adventure,TV Show,18,22,2025-08-06,1,Smart TV,Incomplete
10114,U390,Isabella Thomas,USA,Free,M663,Lucifer,Romance,TV Show,15,22,2025-08-22,3,Mobile,Incomplete
10115,U193,Aisha Khan,Japan,Free,M414,Money Heist,Adventure,TV Show,32,36,2025-08-26,3,Smart TV,Incomplete
10116,U502,Priya Nair,Japan,Premium,M462,Interstellar,Romance,Movie,109,135,2025-09-04,3,Smart TV,Incomplete
10117,U833,Diya Reddy,UK,Standard,M275,Inception,Comedy,Movie,18,30,2025-09-16,2,Smart TV,Incomplete
10118,U766,Benjamin Scott,Canada,Free,M441,The Flash,Thriller,TV Show,31,45,2025-08-23,3,Smart TV,Incomplete
10119,U138,Meera Kapoor,UAE,Standard,M133,The Mandalorian,Drama,Movie,28,39,2025-08-10,3,Mobile,Incomplete
10120,U929,Lily Martin,India,Premium,M166,Jawan,Romance,Movie,37,69,2025-09-17,3,Laptop,Incomplete
10121,U692,Ella Turner,Canada,Premium,M159,Narcos,Drama,TV Show,44,60,2025-10-01,3,Mobile,Incomplete
10122,U338,Ava White,Canada,Free,M732,Dune,Fantasy,TV Show,25,35,2025-08-19,4,Laptop,Incomplete
10123,U677,Ella Turner,UK,Free,M808,Squid Game,Comedy,TV Show,17,24,2025-10-06,3,Tablet,Incomplete
10124,U316,Charlotte Adams,UK,Free,M673,Loki,Crime,Movie,147,160,2025-09-26,5,Tablet,Completed
10125,U958,David Wilson,Canada,Standard,M590,Peaky Blinders,Romance,Movie,24,34,2025-09-29,2,Laptop,Incomplete
10126,U694,Benjamin Scott,USA,Standard,M359,The Mandalorian,Romance,Movie,35,65,2025-09-20,2,Mobile,Incomplete
10127,U158,Isabella Thomas,UK,Standard,M241,Mirzapur,Crime,Movie,163,171,2025-10-25,1,Mobile,Completed
10128,U396,Charlotte Adams,Japan,Premium,M971,Money Heist,Crime,Movie,43,54,2025-09-04,2,Tablet,Incomplete
10129,U407,Ryan Moore,Australia,Standard,M762,Friends,Romance,TV Show,24,38,2025-10-12,1,Tablet,Incomplete
10130,U834,Oliver Brown,Japan,Standard,M960,The Flash,Drama,Movie,83,148,2025-10-29,4,Smart TV,Incomplete
10131,U640,Lucas Green,Australia,Free,M463,Vikings,Crime,TV Show,36,51,2025-09-30,1,Mobile,Incomplete
10132,U834,Priya Nair,India,Standard,M666,Loki,Fantasy,TV Show,31,50,2025-10-02,5,Laptop,Incomplete
10133,U521,Ava White,Japan,Free,M416,Black Mirror,Thriller,Movie,156,179,2025-10-12,3,Smart TV,Incomplete
10134,U280,Aarav Gupta,USA,Free,M688,Jawan,Sci-Fi,TV Show,40,50,2025-08-27,1,Laptop,Incomplete
10135,U664,Priya Nair,Australia,Premium,M599,The Crown,Comedy,Movie,136,167,2025-10-17,2,Mobile,Incomplete
10136,U528,Emma Johnson,UAE,Premium,M976,Interstellar,Romance,Movie,65,106,2025-09-27,2,Tablet,Incomplete
10137,U689,Lily Martin,USA,Free,M262,The Flash,Sci-Fi,TV Show,44,59,2025-09-18,4,Tablet,Incomplete
10138,U887,Charlotte Adams,Australia,Free,M366,Bridgerton,Sci-Fi,Movie,86,166,2025-10-01,4,Tablet,Incomplete
10139,U150,Charlotte Adams,Australia,Premium,M797,Wednesday,Drama,TV Show,17,31,2025-10-26,2,Mobile,Incomplete
10140,U788,Yash Garg,India,Standard,M235,The Flash,Adventure,Movie,47,56,2025-10-27,4,Laptop,Incomplete
10141,U321,Lily Martin,Canada,Standard,M758,Friends,Sci-Fi,Movie,34,63,2025-10-08,3,Tablet,Incomplete
10142,U271,Jack Anderson,Japan,Standard,M805,The Mandalorian,Action,Movie,108,117,2025-09-19,1,Mobile,Completed
10143,U921,Harshit Tiwari,India,Premium,M505,Loki,Drama,TV Show,32,52,2025-09-26,3,Mobile,Incomplete
10144,U440,Lily Martin,Japan,Standard,M176,The Witcher,Comedy,TV Show,16,30,2025-10-19,1,Mobile,Incomplete
10145,U789,Sarah Lee,UAE,Free,M979,The Witcher,Adventure,Movie,58,60,2025-08-13,2,Smart TV,Completed
10146,U892,Priya Nair,Japan,Premium,M152,Peaky Blinders,Adventure,TV Show,24,44,2025-09-26,2,Mobile,Incomplete
10147,U927,Yash Garg,UK,Standard,M132,Inception,Crime,Movie,145,157,2025-10-27,5,Smart TV,Completed
10148,U273,Ava White,UAE,Standard,M223,Mirzapur,Action,TV Show,22,24,2025-09-21,2,Tablet,Completed
10149,U572,Ava White,India,Standard,M163,The Crown,Crime,TV Show,27,34,2025-10-01,4,Tablet,Incomplete
10150,U861,Arjun Mehra,Japan,Free,M492,Spider-Man: No Way Home,Fantasy,Movie,62,80,2025-08-05,2,Tablet,Incomplete
10151,U472,Yash Garg,India,Premium,M323,Avatar,Fantasy,TV Show,46,47,2025-10-17,4,Mobile,Completed
10152,U167,Oliver Brown,Japan,Standard,M446,Jawan,Fantasy,Movie,93,132,2025-09-15,3,Tablet,Incomplete
10153,U494,Mia Patel,Japan,Standard,M505,Reacher,Sci-Fi,TV Show,32,45,2025-10-13,4,Mobile,Incomplete
10154,U932,Aisha Khan,UAE,Free,M416,Avatar,Romance,Movie,82,139,2025-10-30,1,Tablet,Incomplete
10155,U204,Ella Turner,India,Premium,M144,Inception,Romance,Movie,25,35,2025-09-29,5,Tablet,Incomplete
10156,U777,Aarav Gupta,UK,Standard,M724,Wednesday,Crime,Movie,87,145,2025-08-29,3,Tablet,Incomplete
10157,U179,Lily Martin,Japan,Free,M536,Squid Game,Thriller,Movie,56,93,2025-10-23,3,Mobile,Incomplete
10158,U749,Arjun Mehra,India,Premium,M795,Dark,Romance,Movie,101,125,2025-10-09,3,Mobile,Incomplete
10159,U374,Jack Anderson,UK,Standard,M482,Game of Thrones,Comedy,TV Show,22,34,2025-09-15,1,Tablet,Incomplete
10160,U529,Rohan Singh,Japan,Free,M172,Stranger Things,Comedy,Movie,87,157,2025-09-21,3,Smart TV,Incomplete
10161,U821,Isabella Thomas,Japan,Premium,M876,Jawan,Sci-Fi,TV Show,27,52,2025-10-16,1,Smart TV,Incomplete
10162,U182,Oliver Brown,USA,Standard,M296,Extraction,Comedy,TV Show,44,48,2025-09-28,3,Mobile,Completed
10163,U462,Raj Sharma,Japan,Premium,M293,The Boys,Action,TV Show,26,46,2025-09-04,4,Laptop,Incomplete
10164,U337,Ryan Moore,USA,Premium,M938,Wednesday,Action,Movie,78,130,2025-09-11,1,Laptop,Incomplete
10165,U380,Isabella Thomas,Australia,Premium,M239,House of the Dragon,Romance,TV Show,25,41,2025-09-21,3,Tablet,Incomplete
10166,U905,Jack Anderson,Japan,Free,M406,Inception,Romance,TV Show,22,22,2025-10-01,1,Laptop,Completed
10167,U623,David Wilson,UK,Premium,M585,Black Mirror,Crime,Movie,34,46,2025-09-22,1,Tablet,Incomplete
10168,U715,Benjamin Scott,Japan,Standard,M235,Dark,Romance,Movie,86,96,2025-08-21,3,Smart TV,Incomplete
10169,U599,Sarah Lee,UK,Free,M889,Stranger Things,Adventure,Movie,40,40,2025-08-25,1,Smart TV,Completed
10170,U459,Neha Verma,Japan,Free,M172,Interstellar,Crime,TV Show,42,45,2025-09-17,5,Smart TV,Completed
10171,U681,Ella Turner,UAE,Free,M612,Jawan,Thriller,Movie,88,98,2025-08-12,1,Mobile,Incomplete
10172,U206,Jack Anderson,Japan,Free,M653,Bridgerton,Thriller,Movie,65,99,2025-09-07,3,Laptop,Incomplete
10173,U727,Isabella Thomas,Japan,Premium,M812,The Office,Romance,TV Show,16,24,2025-08-24,5,Tablet,Incomplete
10174,U952,Ryan Moore,UAE,Standard,M909,The Witcher,Thriller,TV Show,53,56,2025-10-18,1,Tablet,Completed
10175,U931,Ryan Moore,USA,Standard,M987,Spider-Man: No Way Home,Sci-Fi,TV Show,18,23,2025-09-29,3,Mobile,Incomplete
10176,U176,Ella Turner,Canada,Standard,M919,Mirzapur,Drama,TV Show,46,49,2025-08-27,5,Smart TV,Completed
10177,U272,Isabella Thomas,Australia,Free,M112,Vikings,Action,TV Show,12,22,2025-08-18,4,Mobile,Incomplete
10178,U225,Mia Patel,Australia,Premium,M556,The Boys,Romance,Movie,61,108,2025-09-04,4,Mobile,Incomplete
10179,U145,Saanvi Jain,India,Standard,M502,The Boys,Drama,TV Show,45,53,2025-08-26,2,Tablet,Incomplete
10180,U432,Noah Clark,UAE,Standard,M239,Spider-Man: No Way Home,Adventure,TV Show,18,32,2025-09-14,1,Laptop,Incomplete
10181,U619,David Wilson,USA,Standard,M908,The Crown,Adventure,TV Show,19,32,2025-09-08,1,Smart TV,Incomplete
10182,U745,Arnav Joshi,Canada,Premium,M248,Narcos,Drama,Movie,85,110,2025-10-20,3,Tablet,Incomplete
10183,U241,Noah Clark,Canada,Premium,M946,Dark,Thriller,Movie,131,135,2025-09-08,3,Smart TV,Completed
10184,U884,Ella Turner,UAE,Free,M962,The Flash,Thriller,TV Show,22,42,2025-08-24,1,Tablet,Incomplete
10185,U849,Ryan Moore,USA,Standard,M175,Dune,Sci-Fi,TV Show,41,44,2025-08-01,4,Tablet,Completed
10186,U415,Meera Kapoor,Canada,Standard,M867,Extraction,Comedy,TV Show,48,52,2025-08-05,2,Mobile,Completed
10187,U205,Sarah Lee,Canada,Standard,M501,Inception,Thriller,Movie,70,104,2025-10-01,4,Mobile,Incomplete
10188,U514,Mia Patel,UK,Free,M116,Lucifer,Comedy,TV Show,27,47,2025-08-12,1,Laptop,Incomplete
10189,U158,Sarah Lee,India,Premium,M251,The Office,Comedy,Movie,112,171,2025-10-26,4,Laptop,Incomplete
10190,U309,Charlotte Adams,UK,Standard,M747,Avatar,Fantasy,Movie,37,41,2025-08-04,4,Laptop,Completed
10191,U229,Ethan Davis,India,Free,M682,Lucifer,Comedy,Movie,22,35,2025-10-16,3,Tablet,Incomplete
10192,U336,Benjamin Scott,Canada,Free,M922,Friends,Action,Movie,106,176,2025-08-15,5,Smart TV,Incomplete
10193,U248,Priya Nair,Australia,Free,M303,Inception,Adventure,TV Show,36,38,2025-08-21,3,Mobile,Completed
10194,U701,Neha Verma,Japan,Free,M162,House of the Dragon,Fantasy,Movie,65,71,2025-10-23,4,Tablet,Completed
10195,U576,Priya Nair,UK,Free,M860,Lucifer,Thriller,TV Show,21,36,2025-08-17,3,Laptop,Incomplete
10196,U497,Benjamin Scott,Australia,Free,M371,Friends,Sci-Fi,Movie,146,154,2025-10-03,3,Smart TV,Completed
10197,U823,Harshit Tiwari,UK,Premium,M104,Cobra Kai,Thriller,TV Show,29,47,2025-08-21,3,Mobile,Incomplete
10198,U526,Aisha Khan,India,Premium,M303,Interstellar,Thriller,TV Show,41,52,2025-09-11,5,Tablet,Incomplete
10199,U892,Ryan Moore,Japan,Premium,M147,Bridgerton,Sci-Fi,Movie,126,165,2025-09-23,5,Smart TV,Incomplete
10200,U121,Diya Reddy,Japan,Premium,M600,Dark,Comedy,Movie,135,158,2025-10-27,3,Smart TV,Incomplete
10201,U671,Yash Garg,Japan,Standard,M878,Lucifer,Drama,TV Show,26,27,2025-09-04,5,Laptop,Completed
10202,U210,Aisha Khan,India,Premium,M847,The Witcher,Adventure,TV Show,14,22,2025-09-18,5,Laptop,Incomplete
10203,U804,Lucas Green,India,Free,M150,Jawan,Crime,TV Show,31,34,2025-08-23,2,Smart TV,Completed
10204,U268,Yash Garg,Canada,Standard,M628,Money Heist,Comedy,TV Show,12,24,2025-08-14,4,Laptop,Incomplete
10205,U593,Arnav Joshi,Japan,Free,M624,Peaky Blinders,Romance,Movie,85,121,2025-10-22,1,Tablet,Incomplete
10206,U561,Lily Martin,Australia,Standard,M961,Lucifer,Crime,Movie,43,43,2025-10-26,5,Smart TV,Completed
10207,U141,Raj Sharma,USA,Premium,M709,Narcos,Drama,Movie,104,156,2025-08-14,3,Tablet,Incomplete
10208,U398,Ava White,UK,Free,M344,Game of Thrones,Adventure,TV Show,13,22,2025-09-02,5,Tablet,Incomplete
10209,U234,Yash Garg,Canada,Free,M713,Sacred Games,Drama,TV Show,20,23,2025-09-23,3,Mobile,Incomplete
10210,U282,Yash Garg,UK,Standard,M944,The Office,Comedy,TV Show,39,57,2025-09-10,3,Smart TV,Incomplete
10211,U589,Lucas Green,UAE,Premium,M527,The Mandalorian,Sci-Fi,TV Show,27,37,2025-09-14,1,Mobile,Incomplete
10212,U561,Mia Patel,UK,Standard,M474,Lucifer,Action,Movie,44,66,2025-10-17,5,Smart TV,Incomplete
10213,U101,Isabella Thomas,UK,Premium,M464,Reacher,Crime,TV Show,31,44,2025-10-26,4,Tablet,Incomplete
10214,U351,Sarah Lee,Canada,Free,M298,House of the Dragon,Comedy,TV Show,31,43,2025-08-07,1,Laptop,Incomplete
10215,U118,Mia Patel,India,Premium,M886,Squid Game,Drama,Movie,137,149,2025-10-10,1,Mobile,Completed
10216,U114,Jack Anderson,USA,Free,M546,Vikings,Crime,TV Show,33,51,2025-09-15,4,Tablet,Incomplete
10217,U333,Ava White,UAE,Premium,M819,Inception,Romance,TV Show,57,59,2025-10-15,1,Smart TV,Completed
10218,U534,Raj Sharma,India,Free,M452,Squid Game,Thriller,Movie,66,74,2025-08-07,5,Laptop,Incomplete
10219,U135,Raj Sharma,Australia,Standard,M641,Wednesday,Fantasy,TV Show,25,44,2025-09-29,5,Mobile,Incomplete
10220,U512,Lucas Green,Japan,Free,M731,The 100,Crime,TV Show,38,55,2025-08-05,3,Laptop,Incomplete
